Laguna,Supervisor,Fecha_Visita,Nota_Final
E-ARE-1561F1,WV,12/31/2024,2.7
E-CHL-1868,RS,1/31/2024,4.9
E-CHL-1525,RS,1/31/2024,4.6
E-CHL-1524,RS,1/31/2024,5
E-ECU-1577,JP,1/31/2024,4.4
E-CHL-1514,RS,1/31/2024,4.8
E-PER-1578,JP,1/31/2024,4.7
E-URY-1538,JP,1/31/2024,4.7
E-ECU-1559,JP,1/31/2024,3.9
E-COL-3584,JP,1/31/2024,4.5
E-PRY-1773,JP,1/31/2024,4.7
E-PRY-1623,JP,1/31/2024,4.7
E-PRY-1530,JP,1/31/2024,4.6
E-CHL-1512,RS,1/31/2024,4.7
E-MEX-1814,EV,1/31/2024,4
E-CHL-1574,RS,1/31/2024,4.5
E-PER-1503,JP,1/31/2024,4.1
E-PRY-1878,JP,1/31/2024,4.2
E-CHL-1619,MO,1/26/2024,3.3
E-CHL-1549,MO,1/26/2024,5
E-CHL-1511,MO,1/31/2024,4.7
E-DOM-1622,JP,1/31/2024,4.2
E-EGY-1807,LK,1/31/2024,3.5
E-EGY-1760,LK,1/31/2024,2.9
E-EGY-1625,LK,1/31/2024,1.9
E-EGY-1502,LK,1/31/2024,3.6
E-EGY-1822,LK,1/31/2024,4.2
E-EGY-1624-1,LK,1/31/2024,3.7
E-EGY-1624-2,LK,1/31/2024,3.4
E-EGY-1624-3,LK,1/31/2024,3.6
E-ARE-1561F1,WV,1/31/2024,2.8
E-CHL-1620,MO,1/26/2024,4.2
E-CHL-1504,MO,1/23/2024,4.1
E-CHL-1536,MO,1/24/2024,3.6
E-ARE-1561F3,WV,1/31/2024,2.5
E-MEX-2622,EV,2/20/2024,4.5
E-MEX-2622,EV,1/31/2024,4.5
E-BRA-1551,EV,1/31/2024,4.4
E-BOL-1563,EV,1/31/2024,2.8
E-BOL-1567,EV,1/31/2024,4
E-ESP-1568,WV,1/31/2024,3.3
E-ESP-2416,WV,1/31/2024,4.1
E-ARE-1938,WV,1/31/2024,3.1
E-VNM-3203,WV,1/31/2024,2.1
E-TUR-2488,WV,1/31/2024,2.1
E-ZAF-3575,WV,1/31/2024,3.6
E-THA-3197,WV,1/31/2024,3.9
E-THA-1845,WV,1/31/2024,2.1
E-THA-1845,WV,2/29/2024,2.1
E-ZAF-3138,WV,1/31/2024,3
E-IDN-1515,WV,1/31/2024,2.5
E-CHL-1549,MO,2/29/2024,5
E-CHL-1504,MO,2/28/2024,4.1
E-CHL-1620,MO,2/28/2024,4
E-CHL-1536,MO,2/28/2024,3.4
E-CHL-1514,RS,2/29/2024,4.8
E-CHL-1524,RS,2/29/2024,5
E-CHL-1512,RS,2/29/2024,4.7
E-CHL-1525,RS,2/29/2024,4.2
E-ECU-1577,JP,2/29/2024,4.4
E-CHL-1868,RS,2/29/2024,4.9
E-PER-1578,JP,2/29/2024,4.6
E-PRY-1530,JP,2/29/2024,4.3
E-CHL-1574,RS,3/13/2024,4.5
E-CHL-1574,RS,2/29/2024,4.5
E-CHL-1511,MO,2/29/2024,4.7
E-PER-1503,JP,2/29/2024,3.7
E-URY-1538,JP,2/29/2024,4.6
E-ECU-1559,JP,2/29/2024,3.9
E-EGY-1807,LK,2/29/2024,4
E-EGY-1760,LK,2/29/2024,2.4
E-EGY-1625,LK,2/29/2024,1.6
E-PRY-1773,JP,2/29/2024,4.6
E-CHL-1619,MO,2/29/2024,3.1
E-COL-3584,JP,2/29/2024,4.4
E-PRY-1878,JP,2/29/2024,4.4
E-PRY-1623,JP,2/29/2024,4.6
E-DOM-1622,JP,2/29/2024,4.1
E-BOL-1567,EV,2/29/2024,4
E-BRA-1551,EV,2/29/2024,4.3
E-BOL-1563,EV,2/29/2024,2.8
E-MEX-2622,EV,2/29/2024,4.3
E-EGY-1502,LK,2/29/2024,4
E-EGY-1822,LK,2/29/2024,4.2
E-EGY-1624-2,LK,2/29/2024,3.1
E-ARE-1561F1,WV,2/29/2024,2.6
E-EGY-1624-3,LK,2/29/2024,3.3
E-EGY-1624-1,LK,2/29/2024,3.7
E-ARE-1561F3,WV,2/29/2024,2.1
E-ARG-1575,MC,1/31/2024,4.1
E-CHL-1505,MC,1/31/2024,4.5
E-ARG-1540,MC,1/31/2024,2.6
E-ARG-1532,MC,1/31/2024,2.8
E-CHL-1510,MC,1/31/2024,3.9
E-ARG-1575,MC,2/29/2024,4.5
E-CHL-1505,MC,2/29/2024,4.6
E-ARG-1540,MC,2/29/2024,2.9
E-ARG-1532,MC,2/29/2024,3.4
E-CHL-1510,MC,2/29/2024,3.4
E-MEX-1814,EV,2/29/2024,4
E-ESP-1568,WV,2/29/2024,3
E-ECU-1577,JP,3/31/2024,4.4
E-CHL-1619,MO,3/29/2024,3
E-CHL-1549,MO,3/29/2024,5
E-CHL-1504,MO,3/29/2024,4.1
E-CHL-1620,MO,3/28/2024,4
E-CHL-1536,MO,3/27/2024,3.1
E-CHL-1511,MO,3/29/2024,4.6
E-PER-1578,JP,3/31/2024,4.6
E-CHL-1514,RS,3/31/2024,4.7
E-PRY-1773,RS,3/31/2024,4.6
E-PRY-1878,RS,3/31/2024,4.4
E-PRY-1530,RS,3/31/2024,4.2
E-CHL-1524,RS,3/31/2024,5
E-PRY-1623,RS,3/31/2024,4.6
E-CHL-1512,RS,3/31/2024,4.7
E-CHL-1574,RS,3/31/2024,4.5
E-CHL-1868,RS,3/31/2024,4.9
E-CHL-1525,RS,3/31/2024,3.8
E-ECU-1559,JP,3/31/2024,3.9
E-PER-1503,JP,3/31/2024,3.7
